id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
1312,https://biotite.berkeley.edu/QRLab/1312/detail,AB3_D5_FARCH,4/27/2022,AB,UCB,50-80,0,JF,,,,,,,,,,,,,,
1313,https://biotite.berkeley.edu/QRLab/1313/detail,AC3_D1_FARCH,4/27/2022,AC,UCB,0-10,0,MY,,,,,,,,,,,,,,
1314,https://biotite.berkeley.edu/QRLab/1314/detail,AC3_D2_FARCH,4/27/2022,AC,UCB,10-20,0,ES,,,,,,,,,,,,,,
1315,https://biotite.berkeley.edu/QRLab/1315/detail,AC3_D3_FARCH,4/27/2022,AC,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1316,https://biotite.berkeley.edu/QRLab/1316/detail,AC3_D4_FARCH,4/27/2022,AC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1317,https://biotite.berkeley.edu/QRLab/1317/detail,AC3_D5_FARCH,4/27/2022,AC,UCB,50-80,0,JF,,,,,,,,,,,,,,
1318,https://biotite.berkeley.edu/QRLab/1318/detail,HA3_D1_FARCH,4/27/2022,HA,UCB,0-10,0,MY,,,,,,,,,,,,,,
1319,https://biotite.berkeley.edu/QRLab/1319/detail,HA3_D2_FARCH,4/27/2022,HA,UCB,10-20,0,ES,,,,,,,,,,,,,,
1320,https://biotite.berkeley.edu/QRLab/1320/detail,HA3_D3_FARCH,4/27/2022,HA,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1321,https://biotite.berkeley.edu/QRLab/1321/detail,HA3_D4_FARCH,4/27/2022,HA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1322,https://biotite.berkeley.edu/QRLab/1322/detail,HA3_D5_FARCH,4/27/2022,HA,UCB,50-80,0,JF,,,,,,,,,,,,,,
1323,https://biotite.berkeley.edu/QRLab/1323/detail,HB3_D1_FARCH,4/27/2022,HB,UCB,0-10,0,MY,,,,,,,,,,,,,,
1324,https://biotite.berkeley.edu/QRLab/1324/detail,HB3_D2_FARCH,4/27/2022,HB,UCB,10-20,0,ES,,,,,,,,,,,,,,
1325,https://biotite.berkeley.edu/QRLab/1325/detail,HB3_D3_FARCH,4/27/2022,HB,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1326,https://biotite.berkeley.edu/QRLab/1326/detail,HB3_D4_FARCH,4/27/2022,HB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1327,https://biotite.berkeley.edu/QRLab/1327/detail,HB3_D5_FARCH,4/27/2022,HB,UCB,50-80,0,JF,,,,,,,,,,,,,,
1328,https://biotite.berkeley.edu/QRLab/1328/detail,HC3_D1_FARCH,4/27/2022,HC,UCB,0-10,0,MY,,,,,,,,,,,,,,
1329,https://biotite.berkeley.edu/QRLab/1329/detail,HC3_D2_FARCH,4/27/2022,HC,UCB,10-20,0,ES,,,,,,,,,,,,,,
1330,https://biotite.berkeley.edu/QRLab/1330/detail,HC3_D3_FARCH,4/27/2022,HC,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1331,https://biotite.berkeley.edu/QRLab/1331/detail,HC3_D4_FARCH,4/27/2022,HC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1332,https://biotite.berkeley.edu/QRLab/1332/detail,HC3_D5_FARCH,4/27/2022,HC,UCB,50-80,0,JF,,,,,,,,,,,,,,
1333,https://biotite.berkeley.edu/QRLab/1333/detail,AA3_D1_DARCH,4/27/2022,AA,UCB,0-10,0,MY,,,,,,,,,,,,,,
1334,https://biotite.berkeley.edu/QRLab/1334/detail,AA3_D2_DARCH,4/27/2022,AA,UCB,10-20,0,ES,,,,,,,,,,,,,,
1335,https://biotite.berkeley.edu/QRLab/1335/detail,AA3_D3_DARCH,4/27/2022,AA,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1336,https://biotite.berkeley.edu/QRLab/1336/detail,AA3_D4_DARCH,4/27/2022,AA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1337,https://biotite.berkeley.edu/QRLab/1337/detail,AA3_D5_DARCH,4/27/2022,AA,UCB,50-80,0,JF,,,,,,,,,,,,,,
1338,https://biotite.berkeley.edu/QRLab/1338/detail,AB3_D1_DARCH,4/27/2022,AB,UCB,0-10,0,MY,,,,,,,,,,,,,,
1339,https://biotite.berkeley.edu/QRLab/1339/detail,AB3_D2_DARCH,4/27/2022,AB,UCB,10-20,0,ES,,,,,,,,,,,,,,
1340,https://biotite.berkeley.edu/QRLab/1340/detail,AB3_D3_DARCH,4/27/2022,AB,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1341,https://biotite.berkeley.edu/QRLab/1341/detail,AB3_D4_DARCH,4/27/2022,AB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1342,https://biotite.berkeley.edu/QRLab/1342/detail,AB3_D5_DARCH,4/27/2022,AB,UCB,50-80,0,JF,,,,,,,,,,,,,,
1343,https://biotite.berkeley.edu/QRLab/1343/detail,AC3_D1_DARCH,4/27/2022,AC,UCB,0-10,0,MY,,,,,,,,,,,,,,
1344,https://biotite.berkeley.edu/QRLab/1344/detail,AC3_D2_DARCH,4/27/2022,AC,UCB,10-20,0,ES,,,,,,,,,,,,,,
1345,https://biotite.berkeley.edu/QRLab/1345/detail,AC3_D3_DARCH,4/27/2022,AC,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1346,https://biotite.berkeley.edu/QRLab/1346/detail,AC3_D4_DARCH,4/27/2022,AC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1347,https://biotite.berkeley.edu/QRLab/1347/detail,AC3_D5_DARCH,4/27/2022,AC,UCB,50-80,0,JF,,,,,,,,,,,,,,
1348,https://biotite.berkeley.edu/QRLab/1348/detail,HA3_D1_DARCH,4/27/2022,HA,UCB,0-10,0,MY,,,,,,,,,,,,,,
1349,https://biotite.berkeley.edu/QRLab/1349/detail,HA3_D2_DARCH,4/27/2022,HA,UCB,10-20,0,ES,,,,,,,,,,,,,,
1350,https://biotite.berkeley.edu/QRLab/1350/detail,HA3_D3_DARCH,4/27/2022,HA,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1351,https://biotite.berkeley.edu/QRLab/1351/detail,HA3_D4_DARCH,4/27/2022,HA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1352,https://biotite.berkeley.edu/QRLab/1352/detail,HA3_D5_DARCH,4/27/2022,HA,UCB,50-80,0,JF,,,,,,,,,,,,,,
1353,https://biotite.berkeley.edu/QRLab/1353/detail,HB3_D1_DARCH,4/27/2022,HB,UCB,0-10,0,MY,,,,,,,,,,,,,,
1354,https://biotite.berkeley.edu/QRLab/1354/detail,HB3_D2_DARCH,4/27/2022,HB,UCB,10-20,0,ES,,,,,,,,,,,,,,
1355,https://biotite.berkeley.edu/QRLab/1355/detail,HB3_D3_DARCH,4/27/2022,HB,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1356,https://biotite.berkeley.edu/QRLab/1356/detail,HB3_D4_DARCH,4/27/2022,HB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1357,https://biotite.berkeley.edu/QRLab/1357/detail,HB3_D5_DARCH,4/27/2022,HB,UCB,50-80,0,JF,,,,,,,,,,,,,,
1358,https://biotite.berkeley.edu/QRLab/1358/detail,HC3_D1_DARCH,4/27/2022,HC,UCB,0-10,0,MY,,,,,,,,,,,,,,
1359,https://biotite.berkeley.edu/QRLab/1359/detail,HC3_D2_DARCH,4/27/2022,HC,UCB,10-20,0,ES,,,,,,,,,,,,,,
1360,https://biotite.berkeley.edu/QRLab/1360/detail,HC3_D3_DARCH,4/27/2022,HC,UCB,20-30,0,ZH,,,,,,,,,,,,,,
1361,https://biotite.berkeley.edu/QRLab/1361/detail,HC3_D4_DARCH,4/27/2022,HC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,,
1362,https://biotite.berkeley.edu/QRLab/1362/detail,HC3_D5_DARCH,4/27/2022,HC,UCB,50-80,0,JF,,,,,,,,,,,,,,
1363,https://biotite.berkeley.edu/QRLab/1363/detail,AA3_D1_DOC,4/28/2022,AA,UCB,0-10,0,MY,,,,,,,,,,,,,5.055,
1364,https://biotite.berkeley.edu/QRLab/1364/detail,AA3_D2_DOC,4/28/2022,AA,UCB,10-20,0,ES,,,,,,,,,,,,,5.037,
1365,https://biotite.berkeley.edu/QRLab/1365/detail,AA3_D3_DOC,4/28/2022,AA,UCB,20-30,0,ZH,,,,,,,,,,,,,5.109,
1366,https://biotite.berkeley.edu/QRLab/1366/detail,AA3_D4_DOC,4/28/2022,AA,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.148,
1367,https://biotite.berkeley.edu/QRLab/1367/detail,AA3_D5_DOC,4/28/2022,AA,UCB,50-80,0,JF,,,,,,,,,,,,,5.021,
1368,https://biotite.berkeley.edu/QRLab/1368/detail,AB3_D1_DOC,4/28/2022,AB,UCB,0-10,0,MY,,,,,,,,,,,,,5.012,
1369,https://biotite.berkeley.edu/QRLab/1369/detail,AB3_D2_DOC,4/28/2022,AB,UCB,10-20,0,ES,,,,,,,,,,,,,5.057,
1370,https://biotite.berkeley.edu/QRLab/1370/detail,AB3_D3_DOC,4/28/2022,AB,UCB,20-30,0,ZH,,,,,,,,,,,,,5.111,
1371,https://biotite.berkeley.edu/QRLab/1371/detail,AB3_D4_DOC,4/28/2022,AB,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.021,
1372,https://biotite.berkeley.edu/QRLab/1372/detail,AB3_D5_DOC,4/28/2022,AB,UCB,50-80,0,JF,,,,,,,,,,,,,5.033,
1373,https://biotite.berkeley.edu/QRLab/1373/detail,AC3_D1_DOC,4/28/2022,AC,UCB,0-10,0,MY,,,,,,,,,,,,,5.103,
1374,https://biotite.berkeley.edu/QRLab/1374/detail,AC3_D2_DOC,4/28/2022,AC,UCB,10-20,0,ES,,,,,,,,,,,,,5.019,
1375,https://biotite.berkeley.edu/QRLab/1375/detail,AC3_D3_DOC,4/28/2022,AC,UCB,20-30,0,ZH,,,,,,,,,,,,,5.039,
1376,https://biotite.berkeley.edu/QRLab/1376/detail,AC3_D4_DOC,4/28/2022,AC,UCB,30-50,0,ZA-A,,,,,,,,,,,,,5.111,
1377,https://biotite.berkeley.edu/QRLab/1377/detail,AC3_D5_DOC,4/28/2022,AC,UCB,50-80,0,JF,,,,,,,,,,,,,4.964,
1378,https://biotite.berkeley.edu/QRLab/1378/detail,HA3_D1_DOC,4/28/2022,HA,UCB,0-10,0,MY,,,,,,,,,,,,,5.004,
