database_url,id,sample_id,date_collected,location,host,depth,viromics,core_processor,DNA concentration extr1 (ng/ul),DNA loaded for SIP (ug),DNA loaded for SIP (ul),Final greenhouse GWC (%),Freezer location,GWC %,Grams soil DNA extr1,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Volume extr1 (ul),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
https://biotite.berkeley.edu/QRLab/163/detail,163,HB1_D2_16O-0,2022-03-16,HB,UCB,10-20,0,,,,,,,,,,,,,,,9.806,,,,,
https://biotite.berkeley.edu/QRLab/164/detail,164,HB1_D2_16O-7,2022-03-16,HB,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,0,,,,,5.022,,,,,
https://biotite.berkeley.edu/QRLab/165/detail,165,HB1_D3_16O-0,2022-03-16,HB,UCB,20-30,0,,,,,,,,,,,,,,,9.908,,,,,
https://biotite.berkeley.edu/QRLab/166/detail,166,HB1_D3_16O-7,2022-03-16,HB,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.998,,,,,
https://biotite.berkeley.edu/QRLab/167/detail,167,HB1_D3_16O-30,2022-03-16,HB,UCB,20-30,0,,,,,,4th floor Banfield mid row,,,1.2,0,,,,,10.124,,,,,
https://biotite.berkeley.edu/QRLab/168/detail,168,HB1_D4_16O-0,2022-03-16,HB,UCB,30-50,0,,,,,,,,,,,,,,,9.92,,,,,
https://biotite.berkeley.edu/QRLab/169/detail,169,HB1_D4_16O-7,2022-03-16,HB,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,10.19,,,,,
https://biotite.berkeley.edu/QRLab/170/detail,170,HB1_D4_16O-30,2022-03-16,HB,UCB,30-50,0,,,,,,4th floor Banfield mid row,,,1.2,0,,,,,10.113,,,,,
https://biotite.berkeley.edu/QRLab/171/detail,171,HB1_D5_16O-0,2022-03-16,HB,UCB,50-80,0,,,,,,,,,,,,,,,10.16,,,,,
https://biotite.berkeley.edu/QRLab/172/detail,172,HB1_D5_16O-7,2022-03-16,HB,UCB,50-80,0,,,,,,4th floor Firestone 2nd row,,,1.2,0,,,,,9.75,,,,,
