Samples with high stdevs for the concentration measurements:
Density thresholds:	1.72904	1.72240	1.71584	1.70770
AA5_D3_18O-7-2385-146-ABCD	 0.842_1.75957:1.73244_0.000-0.046-0.398-0.722-1.192-2.697	8.123_1.72698:1.72698_8.123	11.172_1.72042:1.72042_11.172	7.247_1.71386:1.70840_9.305-5.188	0.654_1.70313:1.64849_2.112-1.064-0.531-0.308-0.202-0.178-0.183
AA5_D5_16O-7-2372-141-MNOP	 1.780_1.75919:1.72968_0.058-0.174-0.267-0.791-2.113-7.277	17.011_1.72422:1.72422_17.011	19.715_1.71985:1.71985_19.715	10.123_1.71438:1.70783_12.705-7.541	1.194_1.70236:1.64882_3.629-1.961-0.991-0.644-0.434-0.342-0.355
AA5_D5_18O-7-2387-146-ABCD	 1.352_1.75785:1.73509_0.000-0.542-1.718-1.868-2.630	6.914_1.72763:1.72763_6.914	12.862_1.72217:1.71670_13.690-12.034	8.215_1.71124:1.71124_8.215	0.949_1.70468:1.64824_3.530-1.394-0.814-0.395-0.208-0.145-0.160
AB5_D1_16O-7-2373-142-EFGH	 0.990_1.75580:1.73195_0.000-0.025-0.056-0.373-4.495	23.145_1.72648:1.72648_23.145	29.000_1.71993:1.71993_29.000	15.071_1.71446:1.70791_20.213-9.928	1.161_1.70244:1.64472_3.576-1.922-0.951-0.623-0.360-0.342-0.352
AB5_D1_18O-7-2388-139-IJKL	 1.167_1.75888:1.72938_0.000-0.046-0.325-0.789-1.749-4.096	9.413_1.72392:1.72392_9.413	8.586_1.71974:1.71974_8.586	5.124_1.71209:1.71209_5.124	0.718_1.70662:1.65854_2.373-1.140-0.607-0.375-0.252-0.126-0.150
AB5_D3_16O-7-2375-141-MNOP	 1.028_1.75847:1.73334_0.086-0.220-0.281-0.553-1.086-3.942	14.418_1.72788:1.72788_14.418	20.076_1.72132:1.71586_22.078-18.075	12.030_1.71039:1.71039_12.030	1.522_1.70493:1.62426_5.298-2.561-1.647-0.859-0.566-0.469-0.412-0.364
AB5_D3_18O-7-2390-146-ABCD	 0.801_1.75908:1.73304_0.000-0.203-0.463-0.931-2.410	8.960_1.72758:1.72758_8.960	17.035_1.72211:1.71684_19.285-14.784	9.739_1.71138:1.71138_9.739	0.990_1.70482:1.65584_3.613-1.479-0.916-0.403-0.197-0.162-0.157
AB5_D5_16O-7-2377-135-ABCD	 1.350_1.75790:1.72987_0.000-0.020-0.039-0.179-0.953-6.908	9.759_1.72332:1.72332_9.759	9.311_1.71785:1.71785_9.311	12.347_1.71258:1.71258_12.347	1.750_1.70602:1.66360_6.773-2.545-1.431-0.687-0.343-0.212-0.263
AB5_D5_18O-7-2392-141-EFGH	 3.462_1.75779:1.73266_0.473-1.690-3.015-4.088-8.045	18.833_1.72739:1.72739_18.833	20.547_1.72083:1.71646_23.316-17.779	10.478_1.70990:1.70990_10.478	1.610_1.70444:1.63688_4.839-2.727-1.507-0.832-0.467-0.426-0.469
AC5_D1_16O-7-2378-136-IJKL	 0.260_1.75664:1.73170_0.000-0.000-0.026-0.137-1.139	8.665_1.72515:1.72515_8.665	15.017_1.72187:1.72187_15.017	9.885_1.71422:1.70785_12.688-7.081	0.947_1.70348:1.66086_2.904-1.300-0.708-0.404-0.198-0.166
AC5_D1_18O-7-2393-146-IJKL	 1.719_1.75569:1.72965_0.000-0.242-0.814-2.195-5.344	14.147_1.72528:1.72528_14.147	19.082_1.71873:1.71873_19.082	15.588_1.71326:1.71326_15.588	1.847_1.70690:1.64499_7.566-3.280-1.594-0.931-0.514-0.352-0.276-0.266
AC5_D3_16O-7-2380-135-IJKL	 0.482_1.75818:1.73305_0.000-0.049-0.211-0.556-1.593	12.287_1.72868:1.72450_6.963-17.610	18.380_1.71794:1.71794_18.380	15.303_1.71029:1.71029_15.303	2.292_1.70483:1.65257_8.068-3.757-1.842-1.052-0.581-0.386-0.360
AC5_D3_18O-7-2395-139-IJKL	 0.817_1.75856:1.72905_0.000-0.025-0.124-0.395-1.099-3.259	7.209_1.72250:1.72250_7.209	8.313_1.71594:1.71594_8.313	5.907_1.71048:1.71048_5.907	0.618_1.70501:1.65474_2.281-0.805-0.515-0.227-0.164-0.160-0.178
AC5_D5_16O-7-2382-136-ABCD	 0.374_1.75790:1.73096_0.000-0.000-0.058-0.259-1.551	10.053_1.72550:1.72550_10.053	10.420_1.71914:1.71914_10.420	14.933_1.71367:1.70821_18.626-11.240	1.358_1.70184:1.65485_4.081-1.705-0.974-0.518-0.411-0.462
AC5_D5_18O-7-2397-141-ABCD	 0.966_1.75555:1.73151_0.009-0.413-0.781-1.224-2.405	6.633_1.72495:1.72495_6.633	7.850_1.71968:1.71968_7.850	3.924_1.71422:1.70875_5.806-2.042	0.328_1.70220:1.65321_0.864-0.517-0.250-0.147-0.093-0.096
